time,current,voltage
2e-05,-3.88793864e-09,0.00125663706
4e-05,-7.77587721e-09,0.0025132741
8e-05,-1.55517539e-08,0.00502654803
0.00016,-3.11035039e-08,0.0100530948
0.00032,-6.22069764e-08,0.0201061794
0.00064,-1.24413701e-07,0.0402122776
0.00128,-2.48825391e-07,0.0804239049
0.002,-3.88783632e-07,0.125660399
0.002128,-4.13664346e-07,0.1337022
0.002384,-4.63424956e-07,0.149785536
0.002896,-5.6294245e-07,0.181951005
0.00392,-7.6195893e-07,0.246275962
0.00592,-1.15056448e-06,0.371878803
0.00792,-1.53898834e-06,0.497422919
0.00992,-1.92716918e-06,0.622888487
0.01192,-2.3150457e-06,0.748255693
0.01392,-2.70255665e-06,0.873504741
0.01592,-3.08964083e-06,0.998615853
0.01792,-3.47623711e-06,1.12356927
0.01992,-3.86228447e-06,1.24834527
0.02192,-4.24772192e-06,1.37292413
0.02392,-4.6324886e-06,1.4972862
0.02592,-5.01652377e-06,1.62141182
0.02617,-5.0644795e-06,1.63690992
0.02667,-5.16033598e-06,1.66789397
0.026795,-5.18429461e-06,1.67563743
0.027045,-5.23219931e-06,1.69112122
0.0271075,-5.24417391e-06,1.69499152
0.0272325,-5.26812011e-06,1.70273134
0.02726375,-5.27410573e-06,1.70466613
0.02732625,-5.28607685e-06,1.70853551
0.02745125,-5.31001754e-06,1.71627348
0.02770125,-5.35788907e-06,1.73174624
0.02820125,-5.45359237e-06,1.76267892
0.02920125,-5.64483653e-06,1.82449176
0.03120125,-6.02664879e-06,1.94789893
0.03145125,-6.07431038e-06,1.9633036
0.03195125,-6.16958626e-06,1.99409836
0.03295125,-6.35995589e-06,2.05562855
0.0329825,-6.36590076e-06,2.05755007
0.033045,-6.37778994e-06,2.06139288
0.03317,-6.40156569e-06,2.06907754
0.03342,-6.44910533e-06,2.08444303
0.03392,-6.54413676e-06,2.11515855
0.03492,-6.73400491e-06,2.17652665
0.03517,-6.7814307e-06,2.19185534
0.03567,-6.87623196e-06,2.22249646
