 time            l0              l1              l2              l3             
 3.00000000e-04  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 6.00000000e-04  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.20000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 2.40000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 4.80000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 5.40000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 6.60000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.00000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.07500000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.22500000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.52500000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.60000000e-03  2.00000000e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.61875000e-03  2.00000037e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.65625000e-03  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.73125000e-03  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 9.88125000e-03  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.01812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.07812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.19812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.43812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 1.91812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 2.87812500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  2.00000000e+05 
 2.88187500e-02  2.00000075e+05  2.00000000e+05  2.00000000e+05  1.99999995e+05 
 2.88937500e-02  2.00000075e+05  2.00000034e+05  2.00000034e+05  1.99999955e+05 
 2.90437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99999702e+05 
 2.93437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99998501e+05 
 2.99437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99993322e+05 
 3.11437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99971874e+05 
 3.35437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99884781e+05 
 3.83437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.99535359e+05 
 4.79437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.98148427e+05 
 6.71437500e-02  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.92793908e+05 
 1.05543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.73639602e+05 
 1.65543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  1.31622656e+05 
 2.25543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  9.02436552e+04 
 2.85543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  6.14488580e+04 
 3.45543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  4.69605966e+04 
